asset_id,segmento,titulo_obra,arquivo,fonte_ou_licenciante,tipo_autorizacao,territorio,plataformas,inicio_validade,fim_validade,duracao_aprovada_seg,credito_obrigatorio,comprovante,status
RADAR-01,Radar GSA,,,,,,,,,,,PENDENTE
RADAR-02,Radar GSA,,,,,,,,,,,PENDENTE
RADAR-03,Radar GSA,,,,,,,,,,,PENDENTE
CENA-01,Cena em Foco,,,,,,,,,,,PENDENTE
BAST-01,Por Tras da Tela,,,,,,,,,,,PENDENTE
ARQ-01,Arquivo GSA Cinema,,,,,,,,,,,PENDENTE
REC-05,GSA Recomenda #5,,,,,,,,,,,PENDENTE
REC-04,GSA Recomenda #4,,,,,,,,,,,PENDENTE
REC-03,GSA Recomenda #3,,,,,,,,,,,PENDENTE
REC-02,GSA Recomenda #2,,,,,,,,,,,PENDENTE
REC-01,GSA Recomenda #1,,,,,,,,,,,PENDENTE
ESP-01,Sessao Especial,,,,,,,,,,,PENDENTE
