"File","LUFS","TruePeak"
"gsa-cinema-abertura-master-10s-1080p30.mp4","-16,2","-1,2"
"gsa-cinema-arquivo-master-8s-1080p30.mp4","-14,7","-1,5"
"gsa-cinema-bumper-master-5s-1080p30.mp4","-16","-5,2"
"gsa-cinema-cena-em-foco-master-8s-1080p30.mp4","-16,2","-2"
"gsa-cinema-desafio-24-quadros-master-8s-1080p30.mp4","-16,9","-4,3"
"gsa-cinema-encerramento-master-10s-1080p30.mp4","-16","-1,3"
"gsa-cinema-estamos-apresentando-master-10s-1080p30.mp4","-16,4","-4,6"
"gsa-cinema-por-tras-da-tela-master-8s-1080p30.mp4","-15,7","-2"
"gsa-cinema-radar-master-8s-1080p30.mp4","-13,7","-1,3"
"gsa-cinema-voltamos-a-apresentar-master-10s-1080p30.mp4","-16,2","-4,4"
