"File","Duration_s","Video","Resolution","FPS","Audio","SampleRate","Channels","QC"
"gsa-cinema-abertura-master-10s-1080p30.mp4","10","h264","1920x1080","30/1","aac","48000","2","PASS"
"gsa-cinema-arquivo-master-8s-1080p30.mp4","8","h264","1920x1080","30/1","aac","48000","2","PASS"
"gsa-cinema-bumper-master-5s-1080p30.mp4","5","h264","1920x1080","30/1","aac","48000","2","PASS"
"gsa-cinema-cena-em-foco-master-8s-1080p30.mp4","8","h264","1920x1080","30/1","aac","48000","2","PASS"
"gsa-cinema-desafio-24-quadros-master-8s-1080p30.mp4","8","h264","1920x1080","30/1","aac","48000","2","PASS"
"gsa-cinema-encerramento-master-10s-1080p30.mp4","10","h264","1920x1080","30/1","aac","48000","2","PASS"
"gsa-cinema-estamos-apresentando-master-10s-1080p30.mp4","10","h264","1920x1080","30/1","aac","48000","2","PASS"
"gsa-cinema-por-tras-da-tela-master-8s-1080p30.mp4","8","h264","1920x1080","30/1","aac","48000","2","PASS"
"gsa-cinema-radar-master-8s-1080p30.mp4","8","h264","1920x1080","30/1","aac","48000","2","PASS"
"gsa-cinema-voltamos-a-apresentar-master-10s-1080p30.mp4","10","h264","1920x1080","30/1","aac","48000","2","PASS"
